id,run/V,chi_nsubj|chi_obl:agent
run/fic_1920_5739_cleaned_part62.txt/21,['run/V'],['talk/nsubj']
run/fic_1922_14068_cleaned_part68.txt/18,['run/V'],['voice/nmod:poss']
run/fic_1917_16076_cleaned_part125.txt/34,['run/V'],['al/nsubj']
run/fic_1923_5333_cleaned_part97.txt/6,['run/V'],['thing/nsubj']
run/fic_1911_3831_cleaned_part93.txt/17,['run/V'],['boy/dep']
run/fic_1918_992_cleaned_part73.txt/35,['run/V'],['history/nmod:poss']
run/fic_1929_16406_cleaned_part98.txt/3,['run/V'],['boy/nsubj']
run/fic_1929_16406_cleaned_part98.txt/34,['run/V'],['boy/nsubj']
run/fic_1916_1305_cleaned_part65.txt/19,['run/V'],['one/det']
run/fic_1920_2636_cleaned_part101.txt/11,['run/V'],['brooks/nsubj']
run/fic_1911_13932_cleaned_part17.txt/12,['run/V'],['james/nsubj']
run/fic_1925_14496_cleaned_part13.txt/9,['run/V'],['grandmother/nmod:poss']
run/fic_1921_2683_cleaned_part121.txt/164,['run/V'],['one/det']
run/fic_1921_5087_cleaned_part133.txt/40,['run/V'],['morrissy/nsubj']
run/fic_1914_1587_cleaned_part133.txt/36,['run/V'],['most/nsubj']
run/fic_1910_1946_cleaned_part129.txt/3,['run/V'],['keith/nsubj']
run/fic_1926_16245_cleaned_part133.txt/51,['run/V'],['mephisto/nsubj']
run/fic_1925_5691_cleaned_part141.txt/21,['run/V'],['man/amod']
run/fic_1911_2981_cleaned_part152.txt/5,['run/V'],['glance/nmod:poss']
run/fic_1916_2505_cleaned_part147.txt/90,['run/V'],['peter/nsubj']
run/fic_1911_2633_cleaned_part147.txt/50,['run/V'],['some/nsubj']
run/fic_1918_992_cleaned_part136.txt/21,['run/V'],['who/nsubj']
run/fic_1917_2737_cleaned_part149.txt/22,['run/V'],['lydia/nsubj']
run/fic_1921_16277_cleaned_part77.txt/11,['run/V'],['friend/nmod:poss']
run/fic_1916_2505_cleaned_part155.txt/60,['run/V'],['reddy/nsubj']
run/fic_1921_5087_cleaned_part156.txt/4,['run/V'],['morrissy/nsubj']
run/fic_1912_941_cleaned_part146.txt/18,['run/V'],['some/nsubj']
run/fic_1916_14273_cleaned_part3.txt/7,['run/V'],['fanny/nsubj']
run/fic_1920_1158_cleaned_part172.txt/23,['run/V'],['uppy/nsubj']
run/fic_1915_3458_cleaned_part190.txt/37,['run/V'],['which/nsubj']
run/fic_1917_16076_cleaned_part191.txt/28,['run/V'],['peggy/nsubj']
run/fic_1920_2636_cleaned_part191.txt/65,['run/V'],['that/nsubj']
run/fic_1911_3831_cleaned_part166.txt/10,['run/V'],['len/nsubj']
run/fic_1916_2505_cleaned_part183.txt/6,['run/V'],['fox/nsubj']
run/fic_1916_2505_cleaned_part183.txt/11,['run/V'],['reddy/nsubj']
run/fic_1922_2484_cleaned_part2.txt/15,['run/V'],['consumption/nsubj']
run/fic_1921_1216_cleaned_part181.txt/55,['run/V'],['which/nsubj']
run/fic_1920_1158_cleaned_part187.txt/24,['run/V'],['dolores/nsubj']
run/fic_1922_2484_cleaned_part3.txt/55,['run/V'],['who/nsubj']
run/fic_1913_7_cleaned_part2.txt/40,['run/V'],['which/nsubj']
run/fic_1914_2481_cleaned_part196.txt/15,['run/V'],['uncle/nsubj']
run/fic_1922_2484_cleaned_part4.txt/95,['run/V'],['baldness/nsubj']
run/fic_1921_3815_cleaned_part206.txt/55,['run/V'],['which/nsubj']
run/fic_1921_3815_cleaned_part207.txt/60,['run/V'],['that/nsubj']
run/fic_1912_3410_cleaned_part194.txt/51,['run/V'],['spring/nmod:poss']
run/fic_1928_14187_cleaned_part230.txt/20,['run/V'],['willie/nsubj']
run/fic_1917_14296_cleaned_part211.txt/25,['run/V'],['sue/nsubj']
run/fic_1915_14513_cleaned_part215.txt/85,['run/V'],['jed/nsubj']
run/fic_1918_992_cleaned_part196.txt/144,['run/V'],['blood/amod']
run/fic_1919_1218_cleaned_part16.txt/22,['run/V'],['everything/nsubj']
run/fic_1922_4408_cleaned_part233.txt/13,['run/V'],['duke/nsubj']
run/fic_1919_1218_cleaned_part20.txt/17,['run/V'],['that/nsubj']
run/fic_1920_1158_cleaned_part225.txt/34,['run/V'],['which/nsubj']
run/fic_1920_1158_cleaned_part239.txt/70,['run/V'],['that/nsubj']
run/fic_1921_14283_cleaned_part217.txt/35,['run/V'],['hester/nsubj']
run/fic_1919_1218_cleaned_part41.txt/48,['run/V'],['that/nsubj']
run/fic_1922_2927_cleaned_part248.txt/79,['run/V'],['that/nsubj']
run/fic_1917_2737_cleaned_part241.txt/32,['run/V'],['yard/nmod:poss']
run/fic_1917_2737_cleaned_part244.txt/3,['run/V'],['lydia/nsubj']
run/fic_1917_14296_cleaned_part252.txt/26,['run/V'],['ma/nsubj']
run/fic_1922_2927_cleaned_part251.txt/10,['run/V'],['train/nmod:poss']
run/fic_1920_1158_cleaned_part261.txt/28,['run/V'],['who/nsubj']
run/fic_1920_1158_cleaned_part261.txt/53,['run/V'],['who/nsubj']
run/fic_1916_2505_cleaned_part248.txt/31,['run/V'],['who/nsubj']
run/fic_1916_2505_cleaned_part248.txt/91,['run/V'],['unc/nsubj']
run/fic_1922_2484_cleaned_part76.txt/20,['run/V'],['tongue/nmod:poss']
run/fic_1919_1218_cleaned_part61.txt/5,['run/V'],['enemy/nmod:poss']
run/fic_1912_1815_cleaned_part244.txt/43,['run/V'],['which/nsubj']
run/fic_1921_3815_cleaned_part275.txt/15,['run/V'],['stephen/nsubj']
run/fic_1912_1815_cleaned_part258.txt/10,['run/V'],['who/nsubj']
run/fic_1911_2981_cleaned_part291.txt/9,['run/V'],['man/nsubj']
run/fic_1914_2481_cleaned_part291.txt/7,['run/V'],['who/nsubj']
run/fic_1917_3851_cleaned_part282.txt/39,['run/V'],['that/nsubj']
run/fic_1912_5462_cleaned_part144.txt/20,['run/V'],['that/nsubj']
run/fic_1921_3769_cleaned_part92.txt/28,['run/V'],['shiver/amod']
run/fic_1913_7_cleaned_part104.txt/23,['run/V'],['carl/nsubj']
run/fic_1914_2481_cleaned_part301.txt/47,['run/V'],['nose/nmod:poss']
run/fic_1921_1216_cleaned_part296.txt/17,['run/V'],['man/amod']
run/fic_1921_1216_cleaned_part298.txt/15,['run/V'],['that/nsubj']
run/fic_1917_16076_cleaned_part315.txt/21,['run/V'],['toots/nsubj']
run/fic_1921_3815_cleaned_part331.txt/92,['run/V'],['who/nsubj']
run/fic_1913_7_cleaned_part128.txt/21,['run/V'],['which/nsubj']
run/fic_1913_4921_cleaned_part295.txt/12,['run/V'],['min/nsubj']
run/fic_1914_2481_cleaned_part321.txt/35,['run/V'],['who/nsubj']
run/fic_1921_2669_cleaned_part308.txt/19,['run/V'],['tony/nsubj']
run/fic_1913_7_cleaned_part139.txt/35,['run/V'],['ivar/nsubj']
run/fic_1917_16076_cleaned_part327.txt/27,['run/V'],['peggy/nsubj']
run/fic_1916_1305_cleaned_part292.txt/44,['run/V'],['who/nsubj']
run/fic_1921_2683_cleaned_part326.txt/22,['run/V'],['polly/nsubj']
run/fic_1921_2683_cleaned_part326.txt/98,['run/V'],['polly/nsubj']
run/fic_1912_5462_cleaned_part207.txt/33,['run/V'],['memory/nmod:poss']
run/fic_1922_2524_cleaned_part353.txt/9,['run/V'],['that/nsubj']
run/fic_1921_3769_cleaned_part169.txt/98,['run/V'],['that/punct']
run/fic_1913_4921_cleaned_part333.txt/3,['run/V'],['one/nsubj']
run/fic_1921_3678_cleaned_part352.txt/65,['run/V'],['who/nsubj']
run/fic_1917_2737_cleaned_part362.txt/39,['run/V'],['tear/nsubj']
run/fic_1911_3831_cleaned_part347.txt/40,['run/V'],['dick/nsubj']
run/fic_1918_992_cleaned_part323.txt/13,['run/V'],['that/nsubj']
run/fic_1915_3458_cleaned_part383.txt/60,['run/V'],['group/nsubj']
run/fic_1922_4408_cleaned_part380.txt/9,['run/V'],['darlin/nsubj']
run/fic_1913_7_cleaned_part198.txt/28,['run/V'],['emil/nsubj']
run/fic_1915_3458_cleaned_part391.txt/30,['run/V'],['some/nsubj']
run/fic_1922_1796_cleaned_part388.txt/75,['run/V'],['that/nsubj']
run/fic_1922_4408_cleaned_part397.txt/18,['run/V'],['gore/nmod:poss']
run/fic_1919_1218_cleaned_part209.txt/82,['run/V'],['miki/nsubj']
run/fic_1921_3678_cleaned_part398.txt/22,['run/V'],['page/nmod:poss']
run/fic_1920_5739_cleaned_part404.txt/23,['run/V'],['gay/nsubj']
run/fic_1918_992_cleaned_part385.txt/62,['run/V'],['day/nmod:poss']
run/fic_1920_4738_cleaned_part363.txt/26,['run/V'],['wave/amod']
run/fic_1920_3291_cleaned_part310.txt/42,['run/V'],['that/nsubj']
run/fic_1913_7_cleaned_part217.txt/30,['run/V'],['who/nsubj']
run/fic_1914_13912_cleaned_part305.txt/12,['run/V'],['fancy/nmod:poss']
run/fic_1912_1815_cleaned_part411.txt/61,['run/V'],['pedro/nsubj']
run/fic_1917_16076_cleaned_part442.txt/3,['run/V'],['nurse/nsubj']
run/fic_1929_16406_cleaned_part421.txt/22,['run/V'],['zeke/nsubj']
run/fic_1911_3831_cleaned_part414.txt/3,['run/V'],['dave/nsubj']
run/fic_1920_1158_cleaned_part436.txt/3,['run/V'],['dog/nsubj']
run/fic_1921_3815_cleaned_part457.txt/64,['run/V'],['any/nsubj']
run/fic_1922_4408_cleaned_part451.txt/42,['run/V'],['betsy/nsubj']
run/fic_1929_16406_cleaned_part397.txt/3,['run/V'],['chick/nsubj']
run/fic_1920_215_cleaned_part437.txt/10,['run/V'],['archer/nsubj']
run/fic_1914_1587_cleaned_part441.txt/8,['run/V'],['mr.-/nsubj']
run/fic_1911_2633_cleaned_part446.txt/51,['run/V'],['somebody/nsubj']
run/fic_1917_2737_cleaned_part441.txt/27,['run/V'],['lydia/nsubj']
run/fic_1922_1553_cleaned_part460.txt/124,['run/V'],['that/nsubj']
run/fic_1912_1815_cleaned_part425.txt/45,['run/V'],['which/nsubj']
run/fic_1920_1158_cleaned_part472.txt/10,['run/V'],['that/nsubj']
run/fic_1913_7_cleaned_part274.txt/53,['run/V'],['which/nsubj']
run/fic_1911_2633_cleaned_part422.txt/15,['run/V'],['one/nsubj']
run/fic_1925_5691_cleaned_part463.txt/4,['run/V'],['man/nsubj']
run/fic_1922_1796_cleaned_part443.txt/53,['run/V'],['crowd/nmod:poss']
run/fic_1922_1553_cleaned_part479.txt/58,['run/V'],['that/nsubj']
run/fic_1921_5087_cleaned_part423.txt/15,['run/V'],['cunningham/nsubj']
run/fic_1911_3831_cleaned_part445.txt/20,['run/V'],['mr.-/nsubj']
run/fic_1928_14187_cleaned_part484.txt/17,['run/V'],['that/nsubj']
run/fic_1913_4921_cleaned_part432.txt/26,['run/V'],['time/nsubj']
run/fic_1910_3155_cleaned_part463.txt/69,['run/V'],['who/nsubj']
run/fic_1920_215_cleaned_part464.txt/6,['run/V'],['madame/nsubj']
run/fic_1912_5462_cleaned_part352.txt/34,['run/V'],['noah/nsubj']
run/fic_1914_13912_cleaned_part377.txt/4,['run/V'],['everything/nsubj']
run/fic_1912_5462_cleaned_part354.txt/11,['run/V'],['blake/nsubj']
run/fic_1920_2636_cleaned_part506.txt/90,['run/V'],['journey/nmod:poss']
run/fic_1912_5462_cleaned_part362.txt/57,['run/V'],['who/nsubj']
run/fic_1920_2724_cleaned_part452.txt/77,['run/V'],['which/nsubj']
run/fic_1914_2788_cleaned_part44.txt/84,['run/V'],['who/nsubj']
run/fic_1929_16406_cleaned_part515.txt/25,['run/V'],['slickum/nsubj']
run/fic_1914_2481_cleaned_part513.txt/31,['run/V'],['story/nmod:poss']
run/fic_1922_2927_cleaned_part526.txt/23,['run/V'],['that/nsubj']
run/fic_1912_5462_cleaned_part373.txt/36,['run/V'],['that/nsubj']
run/fic_1921_3769_cleaned_part322.txt/14,['run/V'],['what/nsubj']
run/fic_1916_264_cleaned_part526.txt/68,['run/V'],['which/nsubj']
run/fic_1914_482_cleaned_part104.txt/12,['run/V'],['kent/nsubj']
run/fic_1929_16406_cleaned_part525.txt/39,['run/V'],['zeke/nsubj']
run/fic_1919_1218_cleaned_part334.txt/15,['run/V'],['that/nsubj']
run/fic_1919_1218_cleaned_part353.txt/45,['run/V'],['that/nsubj']
run/fic_1925_14496_cleaned_part444.txt/5,['run/V'],['montalvo/nsubj']
run/fic_1920_1158_cleaned_part552.txt/89,['run/V'],['poetry/nsubj']
run/fic_1913_4921_cleaned_part539.txt/116,['run/V'],['luck/nsubj']
run/fic_1913_7_cleaned_part376.txt/61,['run/V'],['sadie/nsubj']
run/fic_1915_14513_cleaned_part574.txt/31,['run/V'],['burr/nsubj']
run/fic_1913_4921_cleaned_part552.txt/15,['run/V'],['misfortune/nsubj']
run/fic_1922_4408_cleaned_part576.txt/14,['run/V'],['betsy/nsubj']
run/fic_1920_2724_cleaned_part522.txt/57,['run/V'],['which/nsubj']
run/fic_1921_3815_cleaned_part591.txt/92,['run/V'],['who/nsubj']
run/fic_1912_1079_cleaned_part66.txt/52,['run/V'],"['i.-/nsubj', 'education/nsubj']"
run/fic_1921_3678_cleaned_part588.txt/6,['run/V'],['that/nsubj']
run/fic_1920_2636_cleaned_part574.txt/103,['run/V'],['that/nsubj']
run/fic_1919_1218_cleaned_part392.txt/17,['run/V'],['water/nmod:poss']
run/fic_1916_264_cleaned_part588.txt/80,['run/V'],['applause/nsubj']
run/fic_1913_7_cleaned_part404.txt/20,['run/V'],['milly/nsubj']
run/fic_1925_14496_cleaned_part481.txt/18,['run/V'],['carmencita/nsubj']
run/fic_1921_3678_cleaned_part591.txt/28,['run/V'],['honor/nsubj']
run/fic_1922_4408_cleaned_part613.txt/35,['run/V'],['betsy/nsubj']
run/fic_1921_1216_cleaned_part602.txt/9,['run/V'],['blood/nmod:poss']
run/fic_1910_1148_cleaned_part607.txt/16,['run/V'],['betton/nsubj']
run/fic_1922_4408_cleaned_part622.txt/19,['run/V'],['to/nmod:poss']
run/fic_1921_1216_cleaned_part623.txt/72,['run/V'],['that/nsubj']
run/fic_1922_2484_cleaned_part434.txt/4,['run/V'],['franz/nsubj']
run/fic_1917_2737_cleaned_part628.txt/16,['run/V'],['lydia/nsubj']
run/fic_1912_1079_cleaned_part146.txt/29,['run/V'],['aunt/nsubj']
run/fic_1921_3769_cleaned_part439.txt/139,['run/V'],['which/nsubj']
run/fic_1917_2737_cleaned_part653.txt/53,['run/V'],['dr.-i/nsubj']
run/fic_1912_5462_cleaned_part507.txt/54,['run/V'],['that/nsubj']
run/fic_1921_14283_cleaned_part648.txt/26,['run/V'],['marthe/nsubj']
run/fic_1913_7_cleaned_part470.txt/11,['run/V'],['emil/nsubj']
run/fic_1921_2669_cleaned_part658.txt/68,['run/V'],['who/nsubj']
run/fic_1918_992_cleaned_part659.txt/125,['run/V'],['that/nsubj']
run/fic_1922_2484_cleaned_part473.txt/101,['run/V'],['that/nsubj']
run/fic_1913_7_cleaned_part497.txt/3,['run/V'],['maria/nsubj']
run/fic_1917_2737_cleaned_part668.txt/3,['run/V'],['john/nsubj']
run/fic_1917_387_cleaned_part552.txt/7,['run/V'],['jimmie/nsubj']
run/fic_1912_1815_cleaned_part660.txt/46,['run/V'],['who/nsubj']
run/fic_1920_1158_cleaned_part689.txt/71,['run/V'],"['jan/nsubj', 'side/nsubj']"
run/fic_1921_5087_cleaned_part686.txt/27,['run/V'],['who/nsubj']
run/fic_1916_264_cleaned_part689.txt/25,['run/V'],['dr.-i/nsubj']
run/fic_1913_7_cleaned_part522.txt/3,['run/V'],['marie/nsubj']
run/fic_1912_5462_cleaned_part548.txt/71,['run/V'],['opinion/nsubj']
run/fic_1922_2484_cleaned_part542.txt/28,['run/V'],['blood/nmod:poss']
run/fic_1920_215_cleaned_part710.txt/120,['run/V'],['that/nsubj']
run/fic_1921_1216_cleaned_part724.txt/11,['run/V'],['man/nsubj']
run/fic_1920_215_cleaned_part723.txt/60,['run/V'],['mrs.-/nsubj']
run/fic_1921_14283_cleaned_part704.txt/7,['run/V'],['hester/nsubj']
run/fic_1922_2524_cleaned_part750.txt/42,['run/V'],['bill/nmod:poss']
run/fic_1925_5691_cleaned_part754.txt/37,['run/V'],['sautee/nsubj']
run/fic_1910_1946_cleaned_part730.txt/129,['run/V'],['someone/nsubj']
run/fic_1917_387_cleaned_part606.txt/174,['run/V'],['jimmie/nsubj']
run/fic_1921_14283_cleaned_part726.txt/37,['run/V'],['andy/nsubj']
run/fic_1917_387_cleaned_part583.txt/31,['run/V'],['who/nsubj']
run/fic_1925_5691_cleaned_part753.txt/55,['run/V'],['sautee/nsubj']
run/fic_1919_1550_cleaned_part752.txt/4,['run/V'],['oxygen/nsubj']
run/fic_1925_5691_cleaned_part768.txt/4,['run/V'],['rathburn/nsubj']
run/fic_1920_1158_cleaned_part762.txt/70,['run/V'],"[""o'grady/nsubj""]"
run/fic_1921_14283_cleaned_part725.txt/28,['run/V'],['andy/nsubj']
run/fic_1912_1079_cleaned_part225.txt/3,['run/V'],['conyers/nsubj']
run/fic_1921_1216_cleaned_part760.txt/4,['run/V'],['blood/nmod:poss']
run/fic_1918_3632_cleaned_part41.txt/10,['run/V'],['spot/amod']
run/fic_1910_5537_cleaned_part590.txt/35,['run/V'],['which/nsubj']
run/fic_1916_1305_cleaned_part716.txt/8,['run/V'],['who/nsubj']
run/fic_1919_1218_cleaned_part567.txt/32,['run/V'],['le/nsubj']
run/fic_1913_7_cleaned_part580.txt/16,['run/V'],['alexandra/nsubj']
run/fic_1921_5087_cleaned_part767.txt/44,['run/V'],['that/nsubj']
run/fic_1922_3436_cleaned_part456.txt/42,['run/V'],['father/nmod:poss']
run/fic_1918_3632_cleaned_part40.txt/41,['run/V'],['johnnie/nsubj']
run/fic_1920_2636_cleaned_part780.txt/16,['run/V'],['river/nsubj']
run/fic_1916_1305_cleaned_part736.txt/37,['run/V'],['human/amod']
run/fic_1914_2788_cleaned_part321.txt/58,['run/V'],['who/nsubj']
run/fic_1921_14283_cleaned_part758.txt/39,['run/V'],['andy/nsubj']
run/fic_1921_3769_cleaned_part591.txt/67,['run/V'],['blood/nmod:poss']
run/fic_1911_1816_cleaned_part101.txt/47,['run/V'],['animal/nmod:poss']
run/fic_1914_1587_cleaned_part803.txt/62,['run/V'],['half/nsubj']
run/fic_1921_3678_cleaned_part778.txt/74,['run/V'],['richard/nsubj']
run/fic_1919_1218_cleaned_part605.txt/8,['run/V'],['wolf/nsubj']
run/fic_1925_5691_cleaned_part804.txt/17,['run/V'],['rathburn/nsubj']
run/fic_1920_3291_cleaned_part717.txt/14,['run/V'],['that/nsubj']
run/fic_1914_5571_cleaned_part189.txt/36,['run/V'],['blood/nmod:poss']
run/fic_1919_3089_cleaned_part85.txt/28,['run/V'],['who/nsubj']
run/fic_1912_5462_cleaned_part673.txt/85,['run/V'],['that/nsubj']
run/fic_1922_2484_cleaned_part625.txt/26,['run/V'],['mouth/nmod:poss']
run/fic_1914_2615_cleaned_part100.txt/29,['run/V'],['bull/nsubj']
run/fic_1925_5691_cleaned_part820.txt/46,['run/V'],['rathburn/nsubj']
run/fic_1919_1218_cleaned_part626.txt/26,['run/V'],['lightning/nsubj']
run/fic_1921_3815_cleaned_part835.txt/26,['run/V'],['that/nsubj']
run/fic_1914_13912_cleaned_part706.txt/22,['run/V'],['bessie/nsubj']
run/fic_1916_13334_cleaned_part128.txt/65,['run/V'],['who/nsubj']
run/fic_1914_482_cleaned_part391.txt/80,['run/V'],['penfield/nsubj']
run/fic_1919_1218_cleaned_part629.txt/23,['run/V'],['that/nsubj']
run/fic_1925_5691_cleaned_part843.txt/127,['run/V'],['that/nsubj']
run/fic_1921_14283_cleaned_part817.txt/10,['run/V'],['call/nsubj']
run/fic_1916_14638_cleaned_part144.txt/16,['run/V'],['ariel/nsubj']
run/fic_1912_5462_cleaned_part697.txt/5,['run/V'],['whisper/nsubj']
run/fic_1920_2636_cleaned_part845.txt/9,['run/V'],['that/nsubj']
run/fic_1911_3831_cleaned_part802.txt/64,['run/V'],['who/nsubj']
run/fic_1915_14513_cleaned_part838.txt/4,['run/V'],['folk/dep']
run/fic_1917_387_cleaned_part745.txt/18,['run/V'],['jimmie/nsubj']
run/fic_1917_387_cleaned_part724.txt/7,['run/V'],['excerpt/nsubj']
run/fic_1920_3291_cleaned_part792.txt/37,['run/V'],['that/nsubj']
run/fic_1914_5571_cleaned_part240.txt/41,['run/V'],['flood/nsubj']
run/fic_1912_1815_cleaned_part848.txt/3,['run/V'],['jackson/nsubj']
run/fic_1925_5691_cleaned_part890.txt/59,['run/V'],['rathburn/nsubj']
run/fic_1920_2636_cleaned_part890.txt/54,['run/V'],['woman/nmod:poss']
run/fic_1921_3815_cleaned_part1063.txt/17,['run/V'],['ridley/nsubj']
run/fic_1921_3342_cleaned_part80.txt/58,['run/V'],['quin/nsubj']
run/fic_1915_5759_cleaned_part41.txt/38,['run/V'],['code/nsubj']
run/fic_1916_13334_cleaned_part350.txt/12,['run/V'],['mary/nsubj']
run/fic_1922_2484_cleaned_part694.txt/25,['run/V'],['water/nmod:poss']
run/fic_1922_3436_cleaned_part569.txt/31,['run/V'],['mary/nsubj']
run/fic_1911_3831_cleaned_part1024.txt/4,['run/V'],['pa/nmod:poss']
run/fic_1922_16077_cleaned_part47.txt/39,['run/V'],['katrina/nsubj']
run/fic_1913_7_cleaned_part713.txt/9,['run/V'],['marie/nsubj']
run/fic_1914_2788_cleaned_part576.txt/49,['run/V'],['which/nsubj']
run/fic_1911_3831_cleaned_part1020.txt/50,['run/V'],['dick/nsubj']
run/fic_1920_5739_cleaned_part882.txt/69,['run/V'],['that/nsubj']
run/fic_1917_387_cleaned_part772.txt/86,['run/V'],['that/nsubj']
run/fic_1912_1079_cleaned_part373.txt/15,['run/V'],['who/nsubj']
run/fic_1922_2484_cleaned_part865.txt/3,['run/V'],['bud/nsubj']
run/fic_1921_3769_cleaned_part839.txt/15,['run/V'],['people/nmod:poss']
run/fic_1920_5739_cleaned_part1029.txt/63,['run/V'],['gay/nsubj']
run/fic_1912_2560_cleaned_part4.txt/108,['run/V'],['billy/nsubj']
run/fic_1919_1550_cleaned_part1027.txt/61,['run/V'],['which/nsubj']
run/fic_1921_1216_cleaned_part1021.txt/64,['run/V'],['blood/nmod:poss']
run/fic_1921_14283_cleaned_part887.txt/29,['run/V'],['oswald/nsubj']
run/fic_1921_14283_cleaned_part887.txt/40,['run/V'],['oswald/nsubj']
run/fic_1913_3137_cleaned_part133.txt/56,['run/V'],['maverick/nsubj']
run/fic_1916_13334_cleaned_part211.txt/27,['run/V'],['abigail/nsubj']
run/fic_1924_16238_cleaned_part123.txt/4,['run/V'],['devlin/nsubj']
run/fic_1914_1587_cleaned_part1015.txt/110,['run/V'],['garlock/nsubj']
run/fic_1920_215_cleaned_part907.txt/67,['run/V'],['who/nsubj']
run/fic_1919_1218_cleaned_part722.txt/42,['run/V'],['nanette/nsubj']
run/fic_1919_13939_cleaned_part80.txt/30,['run/V'],['sylvia/nsubj']
run/fic_1914_13908_cleaned_part252.txt/26,['run/V'],['roylston/nsubj']
run/fic_1919_13939_cleaned_part77.txt/34,['run/V'],['sylvia/nsubj']
run/fic_1921_3678_cleaned_part906.txt/41,['run/V'],['which/nsubj']
run/fic_1921_3815_cleaned_part1016.txt/4,['run/V'],['anybody/nsubj']
run/fic_1911_2633_cleaned_part925.txt/33,['run/V'],['style/nsubj']
run/fic_1914_482_cleaned_part497.txt/121,['run/V'],['which/nsubj']
run/fic_1916_3028_cleaned_part1012.txt/12,['run/V'],['who/nsubj']
run/fic_1919_1550_cleaned_part914.txt/12,['run/V'],['stream/amod']
run/fic_1920_2636_cleaned_part1011.txt/32,['run/V'],['the/nsubj']
run/fic_1913_7_cleaned_part823.txt/19,['run/V'],['shriek/amod']
run/fic_1919_13939_cleaned_part59.txt/48,['run/V'],['sylvia/nsubj']
run/fic_1919_13939_cleaned_part71.txt/22,['run/V'],['sylvia/nsubj']
run/fic_1913_7_cleaned_part752.txt/67,['run/V'],['marie/nsubj']
run/fic_1910_1946_cleaned_part986.txt/27,['run/V'],['father/nmod:poss']
run/fic_1920_2636_cleaned_part935.txt/10,['run/V'],['who/nsubj']
run/fic_1922_2484_cleaned_part794.txt/24,['run/V'],['that/nsubj']
run/fic_1911_5140_cleaned_part65.txt/13,['run/V'],['john/nsubj']
run/fic_1916_13334_cleaned_part286.txt/12,['run/V'],['abigail/nsubj']
run/fic_1916_13334_cleaned_part286.txt/119,['run/V'],['abigail/nsubj']
run/fic_1921_3678_cleaned_part979.txt/83,['run/V'],['honor/nsubj']
run/fic_1914_3525_cleaned_part367.txt/21,['run/V'],['that/nsubj']
run/fic_1913_3137_cleaned_part200.txt/79,['run/V'],['that/nsubj']
run/fic_1911_13932_cleaned_part887.txt/21,['run/V'],['regan/nsubj']
run/fic_1917_14019_cleaned_part50.txt/20,['run/V'],['william/nsubj']
run/fic_1911_1816_cleaned_part105.txt/53,['run/V'],['horse/nmod:poss']
run/fic_1921_3769_cleaned_part765.txt/69,['run/V'],['england/amod']
run/fic_1921_3678_cleaned_part961.txt/14,['run/V'],['which/nsubj']
run/fic_1919_1550_cleaned_part952.txt/40,['run/V'],['that/nsubj']
run/fic_1922_1833_cleaned_part976.txt/7,['run/V'],['eye/nmod:poss']
run/fic_1911_1151_cleaned_part103.txt/7,['run/V'],['wonder/nmod:poss']
run/fic_1911_1816_cleaned_part110.txt/25,['run/V'],['which/nsubj']
